author_key,author_name
OL164746A,Titus Lucretius Carus
OL1265214A,Kokuritsu Kokkai Toshokan (Japan)
OL6856645A,Aristotle
OL2675573A,Stephen Hawking
OL2642032A,Emil Wolf
OL3318803A,E. Brambilla
OL117634A,Domingo Faustino Sarmiento
OL2789045A,Paul A. Tipler
OL2789044A,Gene Mosca
OL23720A,Francis Bacon
OL112912A,Bertrand Russell
OL7555024A,Stuart A. Rice
OL3175986A,Albert Einstein
OL2624612A,McGraw-Hill
OL359271A,David Halliday
OL769057A,Robert Resnick
OL2737985A,David  Halliday
OL2737986A,Robert  Resnick
OL2737987A,Jearl  Walker
OL11734536A,Junde Yuan
OL150551A,"Curie, Eve"
OL29129A,Douglas C. Giancoli
OL35046A,Raymond A. Serway
OL1009536A,Francis Weston Sears
OL536701A,Mark Waldo Zemansky
OL32964A,Hugh D. Young
OL1395819A,Roger A. Freedman
OL3175986A,Albert Einstein
OL7555024A,Stuart A. Rice
OL5290533A,Randall Dewey Knight
OL2670291A,Randall D. Knight
OL258619A,Brian Jones
OL2816609A,Stuart Field
OL132393A,Jean Piaget
OL231611A,Paul G. Hewitt
OL530933A,Fritjof Capra
OL2731281A,Louis A. Bloomfield
OL273593A,John D. Cutnell
OL224615A,Bill W. Tillery
OL194922A,Thomas A. Moore
OL2785894A,Kaplan Publishing
OL3756826A,Klaus D. Sattler
OL832299A,Walter Isaacson
OL7998077A,Illus. with photos
OL1287184A,Galileo Galilei
OL33811A,Frederick Seitz
OL2642032A,Emil Wolf
OL26640A,Eugene Hecht
OL65861A,Gary Zukav
OL35793A,Richard Phillips Feynman
OL2736971A,Karen Cummings
OL579149A,Roger Penrose
OL3175986A,Albert Einstein
OL23125A,James Gleick
OL2628508A,Werner Heisenberg
OL177269A,Smithsonian Institution
OL7555023A,Ilya Prigogine
OL2675573A,Stephen Hawking
OL2980572A,Leonard Mlodinow
OL3418961A,Wade H. Shafer
OL5988027A,Königliche Gesellschaft der Wissenschaften zu Göttingen
OL1937849A,Akademie der Wissenschaften in Göttingen
OL2601609A,John Herbert Sangster
OL299888A,Paul M. Fishbane
OL2652734A,Paul Fishbane
OL446054A,Stephen Gasiorowicz
OL2649898A,Steve Thornton
OL23589A,Stephen T. Thornton
OL26894A,Martin Gardner
OL35046A,Raymond A. Serway
OL592498A,Jerry S. Faughn
OL2749487A,Chris Vuille
OL6968834A,David Halliday
OL4775736A,Robert Resnick
OL7568750A,Jearl Walker
OL112912A,Bertrand Russell
OL2962139A,Doris Metcalf
OL45451A,Ron Marson
OL5127922A,John Conduitt
OL238349A,Richard Wolfson
OL3175986A,Albert Einstein
OL359271A,David Halliday
OL769057A,Robert Resnick
OL657906A,Kenneth S. Krane
OL119835A,Joseph Needham
OL116449A,Karl Pearson
OL3175986A,Albert Einstein
OL7870025A,Albert Einstein
OL2646381A,Peter W. Hawkes
OL57556A,Max Born
OL2675573A,Stephen Hawking
OL2980572A,Leonard Mlodinow
OL1937849A,Akademie der Wissenschaften in Göttingen
OL5988027A,Königliche Gesellschaft der Wissenschaften zu Göttingen
OL2623579A,John Harris
OL2366250A,Gottfried Mahler
OL1652210A,Henry Smith Williams M.D. LL.D.
OL115823A,George Gamow
OL4268335A,J. Rowning
OL2239453A,Mary A. Swift
OL8042547A,Robert E. Camley
OL8042548A,Robert L. Stamps
OL35793A,Richard Phillips Feynman
OL892424A,Ralph Leighton
OL7863022A,Kwan-Hoong Ng
OL8145309A,Jeannie Hsiu Ding Wong
OL8176084A,Geoffrey D. Clarke
OL7235207A,Randall Munroe
OL9686760A,Randall Munroe
OL35793A,Richard Phillips Feynman
OL894144A,Frank Wilczek
OL7832981A,Sean Runnette
OL1227070A,Edwin A. Burtt
OL6292957A,"Landau, Lev Davidovich"
OL579149A,Roger Penrose
OL1481893A,Benjamin Bederson
OL862228A,Herbert Walther
OL34221A,Isaac Asimov
OL119532A,G. W. C. Kaye
OL7282377A,Marcet Mrs
OL1864767A,Louis Claude Desaulses de Freycinet
OL6890761A,Jean René Constant Quoy
OL6890762A,Joseph Paul Gaimard
OL6890763A,Charles Gaudichaud-Beaupré
OL6647162A,Christiaan Hendrik Persoon
OL6039857A,Christian Friedrich Schwägrichen
OL6890764A,Louis-René Desaulses de Freycinet
OL273593A,John D. Cutnell
OL202060A,Kenneth W. Johnson
OL2820060A,John H. Lawrence
OL3318730A,J.G. Hamilton
OL20531A,Jame Trefil
OL45265A,Ptolemy
OL6018972A,Johan Ludvig Heiberg
OL2502714A,Franz Johannes Boll
OL6898564A,Emilie Boer
OL5525524A,Wolfgang Hübner
OL3244230A,Arthur Eisenkraft
OL34221A,Isaac Asimov
OL2738992A,Jerold Touger
OL6292957A,"Landau, Lev Davidovich"
OL405969A,Larry D. Kirkpatrick
OL1457496A,Gerald F. Wheeler
OL10842465A,Nuffield Advanced Science Project Staff
OL2628508A,Werner Heisenberg
OL1287184A,Galileo Galilei
OL34221A,Isaac Asimov
OL3418945A,Michel Baranger
OL1430205A,Greg Jacobs
OL1071754A,Jacques Rohault
