book_key,author_key
OL1548597W,OL164746A
OL33207850W,OL1265214A
OL151632W,OL6856645A
OL1892624W,OL2675573A
OL16996964W,OL2642032A
OL16996964W,OL3318803A
OL1161955W,OL117634A
OL1984422W,OL2789045A
OL1984422W,OL2789044A
OL69399W,OL23720A
OL1088582W,OL112912A
OL20454641W,OL7555024A
OL1214255W,OL3175986A
OL14996328W,OL2624612A
OL2538490W,OL359271A
OL2538490W,OL769057A
OL2538490W,OL2737985A
OL2538490W,OL2737986A
OL2538490W,OL2737987A
OL32337130W,OL11734536A
OL1439437W,OL150551A
OL85336W,OL29129A
OL65071W,OL35046A
OL4797379W,OL1009536A
OL4797379W,OL536701A
OL4797379W,OL32964A
OL4797379W,OL1395819A
OL1214254W,OL3175986A
OL21448079W,OL7555024A
OL12176120W,OL5290533A
OL12176120W,OL2670291A
OL12176120W,OL258619A
OL12176120W,OL2816609A
OL1303751W,OL132393A
OL1930743W,OL231611A
OL3258255W,OL530933A
OL8206804W,OL2731281A
OL2166736W,OL273593A
OL1875878W,OL224615A
OL1707826W,OL194922A
OL267906W,OL2785894A
OL19809222W,OL3756826A
OL4288870W,OL832299A
OL4288870W,OL7998077A
OL15231447W,OL1287184A
OL509004W,OL33811A
OL285292W,OL2642032A
OL29784W,OL26640A
OL788831W,OL65861A
OL514630W,OL35793A
OL8226506W,OL2736971A
OL3474169W,OL579149A
OL15312418W,OL3175986A
OL15898W,OL23125A
OL326412W,OL2628508A
OL1617308W,OL177269A
OL19859793W,OL7555023A
OL1892618W,OL2675573A
OL1892618W,OL2980572A
OL19886075W,OL3418961A
OL13120397W,OL5988027A
OL13120397W,OL1937849A
OL253947W,OL2601609A
OL2284195W,OL299888A
OL2284195W,OL2652734A
OL2284195W,OL446054A
OL2284195W,OL2649898A
OL2284195W,OL23589A
OL459996W,OL26894A
OL65070W,OL35046A
OL65070W,OL592498A
OL65070W,OL2749487A
OL28993492W,OL6968834A
OL28993492W,OL4775736A
OL28993492W,OL7568750A
OL1088574W,OL112912A
OL8728847W,OL2962139A
OL8728847W,OL45451A
OL104735W,OL5127922A
OL1981622W,OL238349A
OL1214251W,OL3175986A
OL2538489W,OL359271A
OL2538489W,OL769057A
OL2538489W,OL657906A
OL1186505W,OL119835A
OL1146972W,OL116449A
OL1214252W,OL3175986A
OL1214252W,OL7870025A
OL7938237W,OL2646381A
OL717865W,OL57556A
OL15367338W,OL2675573A
OL15367338W,OL2980572A
OL13095971W,OL1937849A
OL13095971W,OL5988027A
OL263406W,OL2623579A
OL7676797W,OL2366250A
OL8643346W,OL1652210A
OL1136296W,OL115823A
OL10313152W,OL4268335A
OL18734438W,OL2239453A
OL21037327W,OL8042547A
OL21037327W,OL8042548A
OL514628W,OL35793A
OL514628W,OL892424A
OL21340300W,OL7863022A
OL21340300W,OL8145309A
OL21340300W,OL8176084A
OL17095301W,OL7235207A
OL17095301W,OL9686760A
OL271750W,OL35793A
OL271750W,OL894144A
OL271750W,OL7832981A
OL5343793W,OL1227070A
OL3079600W,OL6292957A
OL3474173W,OL579149A
OL16940153W,OL1481893A
OL16940153W,OL862228A
OL46388W,OL34221A
OL1182888W,OL119532A
OL24938809W,OL7282377A
OL6813527W,OL1864767A
OL6813527W,OL6890761A
OL6813527W,OL6890762A
OL6813527W,OL6890763A
OL6813527W,OL6647162A
OL6813527W,OL6039857A
OL6813527W,OL6890764A
OL21013530W,OL273593A
OL21013530W,OL202060A
OL24812851W,OL2820060A
OL24812851W,OL3318730A
OL118014W,OL20531A
OL158165W,OL45265A
OL158165W,OL6018972A
OL158165W,OL2502714A
OL158165W,OL6898564A
OL158165W,OL5525524A
OL16025198W,OL3244230A
OL46356W,OL34221A
OL8229634W,OL2738992A
OL3079599W,OL6292957A
OL2762438W,OL405969A
OL2762438W,OL1457496A
OL29337808W,OL10842465A
OL326411W,OL2628508A
OL5458485W,OL1287184A
OL46355W,OL34221A
OL19824648W,OL3418945A
OL20594157W,OL1430205A
OL4965104W,OL1071754A
