book_key,title,edition_count,cover_id,cover_edition_key,lendinglibrary,printdisabled,lending_edition,lending_identifier,first_publish_year,status
OL1548597W,On the Nature of the Universe,412,566208.0,OL7870148M,False,True,OL24441773M,tlucretiuscaruso02lucr,1486,open
OL33207850W,Kokuritsu Kokkai Toshokan shozō Meijiki kankō tosho maikuro-ban shūsei,156,,,False,False,,,1991,
OL151632W,Physics,88,9459785.0,OL6739394M,False,True,OL6739394M,in.ernet.dli.2015.183610,1472,open
OL1892624W,A Brief History of Time,86,7888152.0,OL2402980M,False,True,OL22724446M,briefhistoryofti0000hawk_n1e8,1988,borrow_unavailable
OL16996964W,Progress in optics,62,2422105.0,OL10260533M,False,True,,,1963,private
OL1161955W,Facundo,61,5781995.0,OL14007531M,False,True,OL6926513M,lifeinargentiner00sarmrich,1868,open
OL1984422W,Physics for scientists and engineers,56,455532.0,OL7834688M,False,True,OL8127281M,physicsforscient01tipl,1990,borrow_available
OL69399W,Novum organum,52,5584499.0,OL7059000M,False,True,OL7153025M,baconsnovumorgan00bacoiala,1620,open
OL1088582W,The ABC of relativity,50,264558.0,OL3970849M,False,True,OL6683005M,abcofrelativity0000russ,1925,open
OL20454641W,Advances in Chemical Physics,49,9120699.0,OL27679541M,False,False,,,2003,
OL1214255W,Über die spezielle und die allgemeine Relativitätstheorie,49,8245344.0,OL18792406M,False,True,OL6628368M,relativityspeci00lawsgoog,1920,open
OL14996328W,Fundamentals Of Electricity And Magnetism,47,5437853.0,OL9597135M,False,True,OL9672800M,motionforcesener0000unse,2001,borrow_available
OL2538490W,Fundamentals of physics,45,1246724.0,OL3686327M,False,True,OL3972171M,fundamentalsofph0000hall_s2x4,1390,borrow_unavailable
OL32337130W,Fu qiang zhai cong shu xu quan ji,44,,,False,False,,,1897,
OL1439437W,Madame Curie,42,165073.0,OL9406148M,False,True,OL13538874M,madamecuriebiogr00curi,1937,borrow_available
OL85336W,Physics,40,9153769.0,OL4410688M,False,True,OL4410688M,physicsprinciple00gian_2,1980,borrow_available
OL65071W,Physics for scientists and engineers,40,5026455.0,OL9939825M,False,True,OL3030175M,physicsforscient02serw,1982,borrow_available
OL4797379W,University physics,40,8349382.0,OL22456713M,False,True,OL25585844M,universityphysi00sear,1949,borrow_available
OL1214254W,Mein Weltbild,39,5378174.0,OL17624097M,False,True,OL14119465M,worldasiseeit00eins,1934,borrow_available
OL21448079W,Advances in Chemical Physics,39,10492080.0,OL30697710M,False,True,OL29315034M,advancesinchemic0160unse,2007,borrow_available
OL12176120W,College physics,37,5375397.0,OL17436400M,False,True,OL17436400M,collegephysicsst00knig,2006,borrow_available
OL1303751W,Représentation du monde chez l'enfant,35,7147659.0,OL13572364M,False,True,OL23627514M,childsconception01piag,1929,open
OL1930743W,Conceptual physics,35,7065516.0,OL5704350M,False,True,OL5704350M,conceptualphysic00hewirich,1971,borrow_available
OL3258255W,The Tao of Physics,35,6981251.0,OL20573594M,False,True,OL16966619M,taoofphysicsexpl0000capr,1975,borrow_available
OL8206804W,How Things Work,33,305086.0,OL7617729M,False,False,,,1995,
OL2166736W,Physics,33,1243495.0,OL3700050M,False,True,OL2050226M,physicscutn00cutn,1989,borrow_available
OL1875878W,Physical science,33,3731196.0,OL358237M,False,True,OL9965001M,physicschaptersf0000till,1991,borrow_available
OL1707826W,Six Ideas That Shaped Physics,32,63036.0,OL3560500M,False,True,OL22636877M,sixideasthatshap0000moor_b1h8,1998,borrow_available
OL267906W,Kaplan SAT Subject Test,31,2796682.0,OL11794984M,False,True,OL7948615M,satsubjecttestph0000hend_t9f1,2006,borrow_available
OL19809222W,Handbook of nanophysics,30,8605142.0,OL23980840M,False,True,,,2009,private
OL4288870W,Einstein,30,474440.0,OL7948080M,False,True,OL35350555M,einsteinhislifeu0000isaa_n6b4,2007,borrow_available
OL15231447W,Discorsi e dimostrazioni matematiche,30,314847.0,OL7650093M,False,True,OL6567029M,cu31924012322701,1638,open
OL509004W,Solid State Physics,30,5032092.0,OL10072795M,False,True,,,1956,private
OL285292W,Progress in Optics,30,5064775.0,OL10534292M,False,True,OL10534291M,progressinoptics0012unse,1970,borrow_available
OL29784W,Physics,30,363896.0,OL7784473M,False,True,OL32133249M,physicsalgebratr0000hech_o4n0,1994,borrow_available
OL788831W,The Dancing Wu Li Masters,29,1365548.0,OL9822875M,False,True,OL24204609M,dancingwulimaste00zuka,1979,borrow_available
OL514630W,The Feynman lectures on physics,28,582109.0,OL3436360M,False,True,,,1963,private
OL8226506W,Understanding Physics,28,13857898.0,OL9317259M,False,False,,,2001,
OL3474169W,The Emperor's New Mind,27,7901942.0,OL18339648M,False,True,OL2190164M,emperorsnewmindc00penr,1989,borrow_available
OL15312418W,Relativitätstheorie,27,9771318.0,OL6194572M,False,True,OL1525334M,teoriiaotnositel00eins,1921,open
OL15898W,Genius,27,417398.0,OL1705271M,False,True,,,1992,private
OL326412W,Physics and philosophy,27,10206873.0,OL6245617M,False,True,OL21165731M,physicsphilosoph0000heis_n9m9,1958,borrow_available
OL1617308W,Smithsonian physical tables,26,5771377.0,OL7184222M,False,False,OL24179900M,cu31924024565982,1896,open
OL19859793W,Advances in Chemical Physics,25,8666476.0,OL22840002M,False,True,,,1998,private
OL1892618W,A Briefer History of Time,25,1283677.0,OL9563290M,False,True,OL18608660M,brieferhistoryof0000hawk,2005,private
OL19886075W,Masters Theses in the Pure and Applied Sciences,25,8691685.0,OL27073062M,False,True,,,1975,private
OL13120397W,Göttingische Gelehrte Anzeigen,24,6919412.0,OL20458845M,False,False,OL20435632M,gttingischegele41sachgoog,1808,open
OL253947W,Natural philosophy,24,5762167.0,OL23410844M,False,False,OL23410843M,p1naturalphi61west00sanguoft,1861,open
OL2284195W,Physics for scientists and engineers,24,4957585.0,OL3689825M,False,True,OL1737823M,physicsforscient0000fish,1992,borrow_available
OL459996W,The Ambidextrous Universe,24,314475.0,OL7639715M,False,True,OL5920111M,ambidextrousuniv01gard,1964,borrow_available
OL65070W,College physics,24,1063883.0,OL55535M,False,True,OL2061690M,collegephysics00serw,1985,borrow_available
OL28993492W,Fundamentals of Physics,24,,,False,False,,,1996,
OL1088574W,The Analysis of Matter,23,1601265.0,OL9319718M,False,True,OL6025779M,in.ernet.dli.2015.221533,1927,open
OL8728847W,Rocks and Minerals (Tasks Cards),23,5144445.0,OL22120916M,False,True,OL22120916M,pendulums0000mars,1977,borrow_available
